2024.02.27 01:52:27 INFO  web[][o.s.p.ProcessEntryPoint] Starting Web Server
2024.02.27 01:52:31 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 9.9.2.77730 / dd63ff5d0db91f039afd5d40319122666c9961ef
2024.02.27 01:52:31 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar;NON_KEYWORDS=VALUE
2024.02.27 01:52:31 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: /opt/sonarqube/data
2024.02.27 01:52:31 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar;NON_KEYWORDS=VALUE
2024.02.27 01:52:31 INFO  web[][c.z.h.HikariDataSource] HikariPool-1 - Starting...
2024.02.27 01:52:32 INFO  web[][c.z.h.p.HikariPool] HikariPool-1 - Added connection conn2: url=jdbc:h2:tcp://127.0.0.1:9092/sonar user=
2024.02.27 01:52:32 INFO  web[][c.z.h.HikariDataSource] HikariPool-1 - Start completed.
2024.02.27 01:52:32 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2024.02.27 01:52:36 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /opt/sonarqube
2024.02.27 01:52:36 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2024.02.27 01:52:38 INFO  web[][o.s.s.p.d.m.h.MigrationHistoryTableImpl] Creating table schema_migrations
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy C# Code Quality and Security / 8.51.0.59060 / e14c642f118958f22fd08841dc42f9aae480366a
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Configuration detection fot Code Quality and Security / 1.2.0.267 / 4f37ba9ffb37a96d5883e52ad392ed32c5c6eaab
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Flex Code Quality and Security / 2.8.0.3166 / 01f66bdddc678966c81a9064ed139156a6a89c97
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Go Code Quality and Security / 1.11.0.3905 / e1f28bc000e04ca01881e84218d01d464a17a36f
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy HTML Code Quality and Security / 3.7.1.3306 / d720acc6860c6d8b69ec4d17570a398a1e216da1
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy IaC Code Quality and Security / 1.11.0.2847 / 6892bd3a7320b3c110717acfdb18c4c7451069fd
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy JaCoCo / 1.3.0.1538 / 74a7798c7cea687c72ed9df40c93eb7ea2a58c49
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Java Code Quality and Security / 7.16.0.30901 / 4b1436558dfd5fc00c8d9aae8bb0364ba122c73e
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy JavaScript/TypeScript/CSS Code Quality and Security / 9.13.0.20537 / 68ff7657415044b86033814795ed95fc1f1558f1
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Kotlin Code Quality and Security / 2.12.0.1956 / a6df1ae252bd62d63f8673c28f87ad14258a7904
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy PHP Code Quality and Security / 3.27.1.9352 / 3ddc5a03e1a7e3729d41e7c1a30a37d5715958c7
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Python Code Quality and Security / 3.24.1.11916 / cc8f4fa745eb33d31c3869bdfdfd45514e67c1fe
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Ruby Code Quality and Security / 1.11.0.3905 / e1f28bc000e04ca01881e84218d01d464a17a36f
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Scala Code Quality and Security / 1.11.0.3905 / e1f28bc000e04ca01881e84218d01d464a17a36f
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Text Code Quality and Security / 2.0.2.1090 / 7eb026363b98f5f98b43c603772b5177869c2c6a
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy VB.NET Code Quality and Security / 8.51.0.59060 / e14c642f118958f22fd08841dc42f9aae480366a
2024.02.27 01:52:38 INFO  web[][o.s.s.p.ServerPluginManager] Deploy XML Code Quality and Security / 2.7.0.3820 / 656bccc1910d50c8984536bd2dfd917066b858e6
2024.02.27 01:52:51 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [http://localhost:9001]
2024.02.27 01:52:52 WARN  web[][o.s.a.s.w.WebService$Action] Description is not set on action api/monitoring/metrics
2024.02.27 01:52:52 WARN  web[][o.s.a.s.w.WebService$Action] Since is not set on action api/monitoring/metrics
2024.02.27 01:52:52 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/monitoring/metrics
2024.02.27 01:52:52 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/system/liveness
2024.02.27 01:52:52 INFO  web[][o.s.s.p.d.m.AutoDbMigration] Automatically perform DB migration on fresh install
2024.02.27 01:52:52 INFO  web[][DbMigrations] Executing DB migrations...
2024.02.27 01:52:52 INFO  web[][DbMigrations] #1 'Create initial schema'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #1 'Create initial schema': success | time=578ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #2 'Populate initial schema'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #2 'Populate initial schema': success | time=66ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5001 'Drop PK on 'uuid' for 'ce_activity' table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5001 'Drop PK on 'uuid' for 'ce_activity' table': success | time=9ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5002 'Drop 'ce_activity_uuid' index'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5002 'Drop 'ce_activity_uuid' index': success | time=12ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5003 'Recreate PK on 'uuid' for 'ce_activity' table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5003 'Recreate PK on 'uuid' for 'ce_activity' table': success | time=7ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5004 'Drop PK on 'uuid' for 'events' table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5004 'Drop PK on 'uuid' for 'events' table': success | time=8ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5005 'Drop 'events_uuid' index'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5005 'Drop 'events_uuid' index': success | time=5ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5006 'Recreate PK on 'uuid' for 'events' table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5006 'Recreate PK on 'uuid' for 'events' table': success | time=6ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5007 'Drop PK on 'kee' for 'issues' table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5007 'Drop PK on 'kee' for 'issues' table': success | time=4ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5008 'Drop 'issues_kee' index'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5008 'Drop 'issues_kee' index': success | time=7ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5009 'Recreate PK on 'kee' for 'issues' table'...
